Nos i sinusi,rhinitis,"#P 7, VF 20, #IC 20, #IC 4, VU 10, VU 11, VU 12, VU 13, PR 1"
,epistaxis,"#IT 1, IT 3, TR 5, IC 3, #IC 4, VU 40, DM 14"
,sinusitis frontalis,"#P 7, VU 2, #IC 4, P 11, PE 1, DM 23"
,sinusitis maxillaris,"#P 7, G 2, 14, VF 7, P 1, IC 4, IT 18"
Ždrijelo,angina,"#IT 3, #IC 4, IC 1, P 2, P 10, C 9, G 8,G 44"
,pharyngitis chronica,"P 7, Pc 5"
Usta i zubi,stomatitis,"#IT 3, VF 20, VF 21, VU 10, IC 4, IC 2"
,gingivitis,"#Pc 8, IT 8, #P 11, P 9, P 7, #G 45"
,glositis,"#P 7, #TR 5, VU 10, IC 7, RM 23"
,odontalgia,"#IC 4, #IC 1, #P 11, P 7, VF 15, VF 16, IT 3, G 7, G 6, G 44, VU 23"
Uho,otitis,"#TR 5, #TR 17, VF 20, VF 2"
,otorrhea chronica,"#IC 4, G 36, TR 17, 21, VF 2"
,otogeni vertigo,"DM 20, VF 20, #TR 17, H 3, Pc 6, G 40, #VF 19, R 3"
,tinitus auris,"DM 19, G 36, #TR 5, TR 23, TR 22, TR 21"
,hypoacusia,"TR 21, #TR 17, TR 3, VF 2, VF 41, IT 19"
